2026-08-09T23:14:33,381680263+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:33,492172512+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:33,602160485+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:33,711268349+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:33,820150575+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:33,928685231+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,037407133+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,147544990+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,256734838+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,366560644+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,475889657+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,585606215+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,695081085+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:34,804687313+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
